,velocity,flux
175,10921.9400789,0.991620833436
176,10928.8591127,1.00851347574
177,10935.7784547,1.00430090656
178,10942.6981049,0.998433482642
179,10949.6180632,0.994689437761
180,10956.5383298,1.00122108143
181,10963.4589046,1.00172500912
182,10970.3797877,1.00492400592
183,10977.3009791,1.00639206103
184,10984.2224787,0.991688805735
185,10991.1442867,1.01100715421
186,10998.066403,0.999006889655
187,11004.9888277,1.0041690467
188,11011.9115608,0.99753474356
189,11018.8346022,1.00550489095
190,11025.7579521,0.999166381961
191,11032.6816105,1.00843223028
192,11039.6055773,0.998979946078
193,11046.5298526,0.985925928402
194,11053.4544363,1.01031248989
195,11060.3793287,1.0210599564
196,11067.3045295,0.994060084145
197,11074.230039,0.99337441779
198,11081.155857,0.98027380402
199,11088.0819836,0.987584504304
