,frequency,velocity,flux,weight
91,1385.638952255249,7513.993914458892,0.38471746781051896,1.0
92,1385.6313228607178,7515.68601211145,-2.161009892795039,1.0
93,1385.6236934661863,7517.378128397755,0.443456323197152,1.0
94,1385.6160640716553,7519.070263318114,2.034674438902669,1.0
95,1385.608434677124,7520.762416872836,-0.23167366183230165,1.0
96,1385.6008052825928,7522.454589062229,-0.4575343422295761,1.0
97,1385.5931758880615,7524.1467798866,0.6087897207482977,1.0
98,1385.5855464935305,7525.838989346256,0.8967232609580797,1.0
99,1385.577917098999,7527.531217441506,-0.2609936345249779,1.0
100,1385.5702877044678,7529.223464172658,-4.0958893874306295,1.0
101,1385.5626583099363,7530.915729540019,1.2697134748445675,1.0
102,1385.5550289154053,7532.608013543898,0.05964267450632965,1.0
103,1385.547399520874,7534.300316184601,0.5043595586089014,1.0
104,1385.5397701263428,7535.992637462438,1.0850095658402847,1.0
105,1385.5321407318115,7537.684977377716,-0.954903967867911,1.0
106,1385.5245113372805,7539.377335930742,1.8717315711238762,1.0
107,1385.516881942749,7541.069713121825,-0.23284937425034524,1.0
108,1385.5092525482178,7542.762108951273,0.39464695781425574,1.0
109,1385.5016231536863,7544.454523419393,-0.5967132756944085,1.0
110,1385.4939937591553,7546.146956526493,-0.13772137108255178,1.0
111,1385.486364364624,7547.839408272883,-1.7805514407710854,1.0
112,1385.4787349700928,7549.531878658868,-0.09960969618778359,1.0
113,1385.4711055755615,7551.224367684756,0.28494241563392786,1.0
114,1385.4634761810305,7552.916875350858,2.0504891661388034,1.0
115,1385.455846786499,7554.60940165748,-2.963842145344579,1.0
116,1385.4482173919678,7556.301946604929,1.1292676764242584,1.0
117,1385.4405879974363,7557.994510193514,0.629735153161476,1.0
118,1385.4329586029053,7559.687092423544,-2.94375417830572,1.0
119,1385.425329208374,7561.379693295325,-1.1720032808060876,1.0
120,1385.4176998138428,7563.072312809166,-3.248115941759652,1.0
121,1385.4100704193115,7564.764950965374,0.9441795904876915,1.0
122,1385.4024410247805,7566.457607764259,3.2550063666989293,1.0
123,1385.394811630249,7568.150283206127,3.1070952595146464,1.0
124,1385.3871822357178,7569.842977291287,-2.506373357789081,1.0
125,1385.3795528411863,7571.535690020047,-1.2009265921693788,1.0
126,1385.3719234466553,7573.228421392715,-0.8898756415791782,1.0
127,1385.364294052124,7574.921171409599,2.4187854178164043,1.0
128,1385.3566646575928,7576.613940071006,-0.8197512051972148,1.0
129,1385.3490352630615,7578.306727377246,0.3757184878254849,1.0
130,1385.3414058685305,7579.999533328625,1.1587294889167166,1.0
131,1385.333776473999,7581.692357925453,2.274938425724958,1.0
132,1385.3261470794678,7583.385201168036,3.1478428633629445,1.0
133,1385.3185176849363,7585.078063056684,-1.8153076379428184,1.0
134,1385.3108882904053,7586.770943591704,-0.07839821400120145,1.0
135,1385.303258895874,7588.463842773404,3.286951389413557,1.0
136,1385.2956295013428,7590.156760602093,-1.2934383524317137,1.0
137,1385.2880001068115,7591.849697078079,1.2091160255193387,1.0
138,1385.2803707122805,7593.542652201669,-1.1706177177426556,1.0
139,1385.272741317749,7595.235625973171,1.487824957553485,1.0
140,1385.2651119232178,7596.928618392894,0.2540832108753862,1.0
141,1385.2574825286863,7598.621629461147,-1.0848470406783401,1.0
142,1385.2498531341553,7600.314659178236,-1.2868058021356257,1.0
143,1385.242223739624,7602.00770754447,-1.58105484834071,1.0
144,1385.2345943450928,7603.700774560158,-1.9168120276389162,1.0
145,1385.2269649505615,7605.393860225607,-1.3974221311087052,1.0
146,1385.2193355560305,7607.086964541126,-0.6878534525943392,1.0
147,1385.211706161499,7608.7800875070225,-0.4084563293132111,1.0
148,1385.2040767669678,7610.473229123605,1.8784123814348757,1.0
149,1385.1964473724363,7612.166389391181,-3.6913738034508228,1.0
150,1385.1888179779053,7613.85956831006,-0.4178901344629953,1.0
151,1385.181188583374,7615.552765880549,-2.2145112873095996,1.0
152,1385.1735591888428,7617.245982102958,-1.8147428525935925,1.0
153,1385.1659297943115,7618.939216977592,0.48323062642834236,1.0
154,1385.1583003997805,7620.632470504763,-0.09596955889900682,1.0
155,1385.150671005249,7622.325742684776,-1.2628590414688614,1.0
156,1385.1430416107178,7624.01903351794,-0.12805770598799482,1.0
157,1385.1354122161863,7625.712343004565,-1.9621708898010737,1.0
158,1385.1277828216553,7627.405671144957,0.021039500809197254,1.0
159,1385.120153427124,7629.099017939426,-2.1649776703539167,1.0
160,1385.1125240325928,7630.792383388279,-1.1158242493482429,1.0
161,1385.1048946380615,7632.485767491825,-1.6879379489731985,1.0
162,1385.0972652435305,7634.1791702503715,1.1080639803787635,1.0
163,1385.089635848999,7635.872591664228,-0.5116316344687801,1.0
164,1385.0820064544678,7637.566031733701,-0.7760116594901985,1.0
165,1385.0743770599363,7639.259490459101,1.3596812546079198,1.0
166,1385.0667476654053,7640.952967840734,-2.6571376646529554,1.0
167,1385.059118270874,7642.64646387891,-1.6337343735361416,1.0
168,1385.0514888763428,7644.339978573937,-2.9839041166109155,1.0
169,1385.0438594818115,7646.033511926123,0.1398712368418602,1.0
170,1385.0362300872805,7647.727063935776,1.3113949411809487,1.0
171,1385.028600692749,7649.420634603204,0.28102330285922816,1.0
172,1385.0209712982178,7651.1142239287165,-0.6250865426015335,1.0
173,1385.0133419036863,7652.807831912622,1.855382641928129,1.0
174,1385.0057125091553,7654.501458555227,1.691977612560879,1.0
175,1384.998083114624,7656.195103856841,1.7120151366420147,1.0
176,1384.9904537200928,7657.888767817773,-1.3392380370250918,1.0
177,1384.9828243255615,7659.582450438331,0.7340069028453384,1.0
178,1384.9751949310305,7661.276151718822,-0.39940955841940795,1.0
179,1384.967565536499,7662.969871659556,-4.807109813682493,1.0
180,1384.9599361419678,7664.663610260841,-1.7276229588302794,1.0
181,1384.9523067474363,7666.357367522985,0.1810447252734626,1.0
182,1384.9446773529053,7668.051143446297,-3.479911807155487,1.0
183,1384.937047958374,7669.7449380310845,0.2316787971333487,1.0
184,1384.9294185638428,7671.438751277657,-0.1073480428108411,1.0
185,1384.9217891693115,7673.132583186322,-1.6179190872344202,1.0
186,1384.9141597747805,7674.826433757388,0.6301310914693019,1.0
187,1384.906530380249,7676.5203029911645,0.5877885095683619,1.0
